Product Name,Active Ingredients,Product Category,NRN (NAFDAC Reg No),Form,ROA (Route of Admin),Strengths,Status
"""DR BROWN'S"" ADULT DIAPER (LARGE) $",nil,Medical devices,03-1450,NA,NA,NA,Active
Accu-Chek Instant Wireless Blood Glucose Monitoring System,Blood Glucose Monitors,Medical devices,03-6514,NA,NA,NA,Active
Accu-Chek Safe-T-Pro Uno Single-Use Lancing Device,Lancets,Medical devices,03-6091,NA,NA,NA,Active
Accu-Chek Softclix Lancet,Lancets,Medical devices,03-6090,NA,NA,NA,Active
Adre Baby Wipes,Baby Wipes,Medical devices,A3-100882,NA,NA,NA,Active
Afmaryaz Lady Special Sanitary Pads,Sanitary Pads,Medical devices,03-1313,NA,NA,NA,Active
Aiwibi Baby Diaper (Midi),Nappy (Diaper) Pants,Medical devices,03-8119,NA,NA,NA,Inactive
Ak-Freedom Baby Diapers (Mini),Nappy (Diaper) Pants,Medical devices,A3-100168,NA,NA,NA,Inactive
Ak-Freedom Baby Diapers (Newborn),Nappy (Diaper) Pants,Medical devices,A3-100232,NA,NA,NA,Inactive
Ak-Freedom Sanitary Napkins Ultra (long 7.4 g),Sanitary Pads,Medical devices,A3-100332,NA,NA,NA,Inactive
Always 3-In-1 Maxi Thick (Extra-Long) Sanitary Pads,Sanitary Pads,Medical devices,03-2099,NA,NA,NA,Active
Always 3-In-1 Maxi Thick (Long) Sanitary Pads,Sanitary Pads,Medical devices,03-2013,NA,NA,NA,Active
Always Cottony Soft Maxi Thick Sanitary Pads (Extra-Long),Sanitary Pads,Medical devices,03-6429,NA,NA,NA,Active
Always Cottony Soft Maxi Thick Sanitary Pads (Long),Sanitary Pads,Medical devices,03-6428,NA,NA,NA,Active
Always Platinum Ultra Thin Extra Long Sanitary Pads,Sanitary Pads,Medical devices,03-3277,NA,NA,NA,Inactive
Always Ultra Extra Long Sanitary Pads,Sanitary Pads,Medical devices,03-0635,NA,NA,NA,Inactive
Always Ultra Thin Long Sanitary Pads,Sanitary Pads,Medical devices,03-0634,NA,NA,NA,Active
Amegheject - Disposable Hypodermic Syringe with Needle Bis 10258,Syringes and Needles,Medical devices,A3-100797,NA,NA,NA,Active
Amiga Sanitary Pad,Sanitary Pads,Medical devices,A3-101155,NA,NA,NA,Active
Amiga Sanitary Pad with Pantyliner,Sanitary Pads; Pantyliner,Medical devices,A3-101146,NA,NA,NA,Active
Amycare (Regular) Sanitary Pad,Sanitary Pads,Medical devices,A3-100921,NA,NA,NA,Active
Amycare (Super) Sanitary Pad,Sanitary Pads,Medical devices,A3-100922,NA,NA,NA,Active
Angel Deluxe Regular Pads,Sanitary Pads,Medical devices,03-6740,NA,NA,NA,Active
Angel Pantyliner,Pantyliners,Medical devices,A3-101090,NA,NA,NA,Active
Angel Regular Ultra-Thin Sanitary Pads,Sanitary Pads,Medical devices,03-2032,NA,NA,NA,Active
Angel Sanitary Pad,Sanitary Pads,Medical devices,A3-100478,NA,NA,NA,Active
Angel Sanitary Pad (Combination Package),Sanitary Pads,Medical devices,A3-101224,NA,NA,NA,Active
Angel Ultra-Thin Heavy Flow,Sanitary Pads,Medical devices,03-2031,NA,NA,NA,Active
Annoryl Braided and Coated Polyglycolic Acid Absorbable Surgical Sutures U.S.P (Synthetic),Surgical Sutures,Medical devices,03-6236,NA,NA,NA,Active
Anosan (Naturlich Rein Surface Disinfection),Disinfectant,Medical devices,A3-100836,NA,NA,NA,Active
Anosan Aqua (Drinking Water Disinfection),Disinfectant,Medical devices,A3-100915,NA,NA,NA,Active
Anosan Eco (Room Hygiene & Nebulization),Disinfectant,Medical devices,A3-100834,NA,NA,NA,Active
Apex Absorbent Cotton Gauze Roll,Gauze and Bandages,Medical devices,A3-101219,NA,NA,NA,Active
Apex Chromic Catgut Sutures with Needle (Size 2.0),Sutures and Needles,Medical devices,03-6310,NA,NA,NA,Active
Apex Cotton Crepe Bandage,Gauze and Bandages,Medical devices,A3-101221,NA,NA,NA,Active
Apex Digital/Automatic Blood Pressure Monitor,Blood Pressure Monitor,Medical devices,A3-101303,NA,NA,NA,Active
Apex Disposable Hypo Flow Scalp Vein Set,Scalp Vein Set,Medical devices,03-6309,NA,NA,NA,Active
Apex Disposable Hypodermic Needle,Needles,Medical devices,03-6308,NA,NA,NA,Active
Apex Latex Powdered Examination Gloves,Gloves,Medical devices,A3-101239,NA,NA,NA,Active
Apex Nylon Suture with Needle,Sutures and Needles,Medical devices,03-6440,NA,NA,NA,Active
Apex Plaster Bandage,Gauze and Bandages,Medical devices,A3-101220,NA,NA,NA,Active
Apex Plaster Zinc Oxide Adhesive Plaster,Plaster,Medical devices,A3-101222,NA,NA,NA,Active
Apex Pregnancy Test Strip,Urinalysis Reagent Strips,Medical devices,03-6507,NA,NA,NA,Active
Apex Single-Use Latex Surgical Gloves,Gloves,Medical devices,A3-101238,NA,NA,NA,Active
Aqua Salveo Water Disinfectant,Disinfectant,Medical devices,A3-100442,NA,NA,NA,Active
Aquasalveo Hand Sanitiser,Hand Sanitizer,Medical devices,A3-100607,NA,NA,NA,Active
Arigold Disposable Needle,Needles,Medical devices,A3-101099,NA,NA,NA,Active
Arigold Syringe with Needle,Syringes and Needles,Medical devices,A3-101161,NA,NA,NA,Active
Aspee Surgicare Infusion Set,Infusion Set,Medical devices,A3-101327,NA,NA,NA,Active
Aspee Surgicare Scalp Vein Set,Scalp Vein Set,Medical devices,A3-101328,NA,NA,NA,Active
10% Dextrose (500/1000 mL),Glucose,Drugs,04-0858,Solution for infusion,Intravenous,NA,Inactive
10% DEXTROSE INFUSION BP,Dextrose Anhydrous,Drugs,A11-0237,Solution for infusion,Intravenous,NA,Active
1980 Azithromycin Tablets USP 500 mg $,Azithromycin (Azithromycin Dihydrate),Drugs,A4-101970,Tablet,Oral,NA,Active
1980 Pregabalin 150 mg Capsules,Pregabalin,Drugs,A4-101466,Capsule,Oral,NA,Active
3-Xon Cream,Clobetasol; Ketoconazole; Neomycin,Drugs,A4-101048,Cream,Topical,NA,Active
3K Cream,Betamethasone; Clotrimazole; Neomycin sulfate,Drugs,B4-0452,Cream,Topical,NA,Active
4.3% Dextrose and Saline Infusion,Glucose; Sodium Chloride,Drugs,A11-0325,Solution for infusion,Intravenous,NA,Active
4.3% Dextrose Saline (500 mL),Glucose; Sodium Chloride,Drugs,04-1215,Solution for infusion,Intravenous,NA,Active
5% Dextrose (500/1000 mL),Anhydrous Dextrose,Drugs,04-0857,Solution for infusion,Intravenous,NA,Inactive
5% Dextrose and Normal Saline Infusion,Glucose; Sodium Chloride,Drugs,A11-0236,Solution for infusion,Intravenous,NA,Active
Aceco 50 Tablets,Diclofenac Potassium,Drugs,B4-1808,Tablet,Oral,NA,Active
Aceclofen Tablet 100 mg,Aceclofenac,Drugs,B4-2965,Tablet,Oral,NA,Inactive
Aceclofenac Injection,Aceclofenac,Drugs,C4-1809,Solution for injection,Intramuscular,NA,Active
Aceclomax Tablets,Aceclofenac; Paracetamol,Drugs,B4-7902,Tablet,Oral,NA,Active
Aceclodon 100 Tablets,Aceclofenac,Drugs,B4-5592,Tablet,Oral,NA,Inactive
Aceclodon Gel,Aceclofenac,Drugs,C4-1681,Gel,Topical,NA,Inactive
Acem-500 Tablets,Clarithromycin,Drugs,04-8551,Tablet,Oral,NA,Inactive
Acenac Tablets 100 mg,Aceclofenac,Drugs,A4-4192,Tablet,Oral,NA,Inactive
Acenol 100 mg Tablets,Aceclofenac,Drugs,B4-3754,Tablet,Oral,NA,Inactive
Acenol 200 mg Tablets,Aceclofenac,Drugs,B4-0887,Tablet,Oral,NA,Inactive
Acepol Suspension,Paracetamol,Drugs,A4-0704,Suspension,Oral,NA,Active
Acetazolamide 250 mg Tablet,Acetazolamide,Drugs,C4-1780,Tablet,Oral,NA,Inactive
Acetazolamide 250 Tablets,Acetazolamide,Drugs,A11-100010,Tablet,Oral,NA,Inactive
Achrelief Gel,Aceclofenac; Methyl Salicylate; Capsaicin; Linseed Oil,Drugs,A4-101031,Gel,Topical,NA,Active
Acyclovir Cream BP 5% w/w,Acyclovir,Drugs,A4-100450,Cream,Topical,NA,Active
Acidomep Capsules,Omeprazole,Drugs,A4-9491,Capsule,Oral,NA,Inactive
Acigo Mist Magnesium Trisilicate Suspension,Magnesium trisilicate; Magnesium carbonate; Sodium bicarbonate,Drugs,A4-4335,Suspension,Oral,NA,Inactive
Aciguard Antacid Suspension,Aluminium hydroxide; Magnesium hydroxide; Magnesium trisilicate; Simethicone,Drugs,04-4753,Suspension,Oral,NA,Active
Acimox Capsule,Amoxicillin (Amoxicillin Trihydrate),Drugs,A4-8982,Capsule,Oral,NA,Active
Acimox Suspension,Amoxicillin (Amoxicillin Trihydrate),Drugs,A11-0155,Powder for suspension,Oral,NA,Active
Acipep Tablets,Alginic Acid; Magnesium Hydroxide; Dried Aluminium Hydroxide; Sodium Bicarbonate,Drugs,C4-1196,Chewable tablet,Oral,NA,Inactive
ACIPRO CAPLET $,Ciprofloxacin,Drugs,04-5827,Caplet,Oral,NA,Active
Acithromac Suspension,Erythromycin (Erythromycin Stearate),Drugs,04-1050,Suspension,Oral,NA,Active
Acithromac Tablet,Erythromycin (Erythromycin Stearate),Drugs,A11-0312,Caplet,Oral,NA,Active
Acizip-100 Tablets,Aceclofenac,Drugs,B4-4804,Tablet,Oral,NA,Active
Acofenac,Diclofenac Sodium,Drugs,B4-4208,Tablet,Oral,NA,Active
Acretin 0.025% Cream,Tretinoin,Drugs,B4-7857,Cream,Cutaneous/Topical,NA,Active
Acretin 0.05% Cream,Tretinoin,Drugs,B4-7858,Cream,Topical,NA,Active
Acriptega Tablets,Dolutegravir (Dolutegravir Sodium); Lamivudine; Tenofovir Disoproxil Fumarate,Drugs,B4-9927,Tablet,Oral,NA,Active
Actazone 1 g Injection,Ceftriaxone (Ceftriaxone Sodium),Drugs,B4-6442,Powder for injection,Intravenous,NA,Inactive
Actifed Cold Tablets,Triprolidine Hydrochloride; Pseudoephedrine Hydrochloride,Drugs,04-1964,Tablet,Oral,NA,Active
Actilyse Powder,Alteplase,Drugs,A6-0592,Powder for injection,Intravenous,NA,Inactive
Actimax 20/120 Dispersible Tablet $,Artemether; Lumefantrine,Drugs,A11-0726,Tablet,Oral,NA,Active
Actinac 100 Tablets,Aceclofenac,Drugs,A4-7483,Tablet,Oral,NA,Active
Actinac Plus Tablet,Aceclofenac; Paracetamol,Drugs,A4-7482,Tablet,Oral,NA,Inactive
Activenol Tablets,Salbutamol (Salbutamol Sulfate); Theophylline,Drugs,C4-1458,Tablet,Oral,NA,Inactive
Acupan Injection,Nefopam Hydrochloride,Drugs,A4-5504,Solution for injection,Intravenous; Intramuscular,NA,Active
Acyclovir Ointment,Acyclovir,Drugs,A11-100249,Ointment,Topical,NA,Active
Acycor Plus Gel,Aceclofenac; Methyl Salicylate; Capsaicin; Linseed Oil,Drugs,A4-100768,Gel,Topical,NA,Active
Acycor Plus Tablets,Aceclofenac; Paracetamol,Drugs,A4-9021,Tablet,Oral,NA,Inactive
