product_name,active_ingredients,product_category,nafdac_reg_no,form,route_of_admin,strengths,status
10% DEXTROSE (500/1000 ML),GLUCOSE,DRUGS,04-0858,SOLUTION FOR INFUSION,INTRAVENOUS,,INACTIVE
10% DEXTROSE INFUSION BP,DEXTROSE ANHYDROUS,DRUGS,A11-0237,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE
1980 AZITHROMYCIN TABLETS USP 500 MG $,AZITHROMYCIN (AZITHROMYCIN DIHYDRATE),DRUGS,A4-101970,TABLET,ORAL,,ACTIVE
1980 PREGABALIN 150 MG CAPSULES,PREGABALIN,DRUGS,A4-101466,CAPSULE,ORAL,,ACTIVE
3-XON CREAM,CLOBETASOL; KETOCONAZOLE; NEOMYCIN,DRUGS,A4-101048,CREAM,TOPICAL,,ACTIVE
3K CREAM,BETAMETHASONE; CLOTRIMAZOLE; NEOMYCIN SULFATE,DRUGS,B4-0452,CREAM,TOPICAL,,ACTIVE
4.3% DEXTROSE AND SALINE INFUSION,GLUCOSE; SODIUM CHLORIDE,DRUGS,A11-0325,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE
4.3% DEXTROSE SALINE (500 ML),GLUCOSE; SODIUM CHLORIDE,DRUGS,04-1215,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE
5% DEXTROSE (500/1000 ML),ANHYDROUS DEXTROSE,DRUGS,04-0857,SOLUTION FOR INFUSION,INTRAVENOUS,,INACTIVE
5% DEXTROSE AND NORMAL SALINE INFUSION,GLUCOSE; SODIUM CHLORIDE,DRUGS,A11-0236,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE
ACECO 50 TABLETS,DICLOFENAC POTASSIUM,DRUGS,B4-1808,TABLET,ORAL,,ACTIVE
ACECLOFEN TABLET 100 MG,ACECLOFENAC,DRUGS,B4-2965,TABLET,ORAL,,INACTIVE
ACECLOFENAC INJECTION,ACECLOFENAC,DRUGS,C4-1809,SOLUTION FOR INJECTION,INTRAMUSCULAR,,ACTIVE
ACECLOMAX TABLETS,ACECLOFENAC; PARACETAMOL,DRUGS,B4-7902,TABLET,ORAL,,ACTIVE
ACECLODON 100 TABLETS,ACECLOFENAC,DRUGS,B4-5592,TABLET,ORAL,,INACTIVE
ACECLODON GEL,ACECLOFENAC,DRUGS,C4-1681,GEL,TOPICAL,,INACTIVE
ACEM-500 TABLETS,CLARITHROMYCIN,DRUGS,04-8551,TABLET,ORAL,,INACTIVE
ACENAC TABLETS 100 MG,ACECLOFENAC,DRUGS,A4-4192,TABLET,ORAL,,INACTIVE
ACENOL 100 MG TABLETS,ACECLOFENAC,DRUGS,B4-3754,TABLET,ORAL,,INACTIVE
ACENOL 200 MG TABLETS,ACECLOFENAC,DRUGS,B4-0887,TABLET,ORAL,,INACTIVE
ACEPOL SUSPENSION,PARACETAMOL,DRUGS,A4-0704,SUSPENSION,ORAL,,ACTIVE
ACETAZOLAMIDE 250 MG TABLET,ACETAZOLAMIDE,DRUGS,C4-1780,TABLET,ORAL,,INACTIVE
ACETAZOLAMIDE 250 TABLETS,ACETAZOLAMIDE,DRUGS,A11-100010,TABLET,ORAL,,INACTIVE
ACHRELIEF GEL,ACECLOFENAC; METHYL SALICYLATE; CAPSAICIN; LINSEED OIL,DRUGS,A4-101031,GEL,TOPICAL,,ACTIVE
ACYCLOVIR CREAM BP 5% W/W,ACYCLOVIR,DRUGS,A4-100450,CREAM,TOPICAL,,ACTIVE
ACIDOMEP CAPSULES,OMEPRAZOLE,DRUGS,A4-9491,CAPSULE,ORAL,,INACTIVE
ACIGO MIST MAGNESIUM TRISILICATE SUSPENSION,MAGNESIUM TRISILICATE; MAGNESIUM CARBONATE; SODIUM BICARBONATE,DRUGS,A4-4335,SUSPENSION,ORAL,,INACTIVE
ACIGUARD ANTACID SUSPENSION,ALUMINIUM HYDROXIDE; MAGNESIUM HYDROXIDE; MAGNESIUM TRISILICATE; SIMETHICONE,DRUGS,04-4753,SUSPENSION,ORAL,,ACTIVE
ACIMOX CAPSULE,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),DRUGS,A4-8982,CAPSULE,ORAL,,ACTIVE
ACIMOX SUSPENSION,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),DRUGS,A11-0155,POWDER FOR SUSPENSION,ORAL,,ACTIVE
ACIPEP TABLETS,ALGINIC ACID; MAGNESIUM HYDROXIDE; DRIED ALUMINIUM HYDROXIDE; SODIUM BICARBONATE,DRUGS,C4-1196,CHEWABLE TABLET,ORAL,,INACTIVE
ACIPRO CAPLET $,CIPROFLOXACIN,DRUGS,04-5827,CAPLET,ORAL,,ACTIVE
ACITHROMAC SUSPENSION,ERYTHROMYCIN (ERYTHROMYCIN STEARATE),DRUGS,04-1050,SUSPENSION,ORAL,,ACTIVE
ACITHROMAC TABLET,ERYTHROMYCIN (ERYTHROMYCIN STEARATE),DRUGS,A11-0312,CAPLET,ORAL,,ACTIVE
ACIZIP-100 TABLETS,ACECLOFENAC,DRUGS,B4-4804,TABLET,ORAL,,ACTIVE
ACOFENAC,DICLOFENAC SODIUM,DRUGS,B4-4208,TABLET,ORAL,,ACTIVE
ACRETIN 0.025% CREAM,TRETINOIN,DRUGS,B4-7857,CREAM,CUTANEOUS/TOPICAL,,ACTIVE
