product_name,active_ingredients,product_category,nafdac_reg_no,form,route_of_admin,strengths,status,source_id,label,perturbation_type,name_similarity,registration_match,ingredient_match,form_match,route_match,strength_match,category_match,status_valid
10% DEXTROSE (500/1000 ML),GLUCOSE,DRUGS,04-0858,SOLUTION FOR INFUSION,INTRAVENOUS,,INACTIVE,0,Genuine,None,1.0,1,1,1,1,1,1,0
10% DEXTROSE (500/1000 ML),GLUCOSE,DRUGS,04-0858X,SOLUTION FOR INFUSION,INTRAVENOUS,,INACTIVE,0,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
10% DEXTROSE (500/1000 ML) X,GLUCOSE,DRUGS,04-0858,SOLUTION FOR INFUSION,INTRAVENOUS,,INACTIVE,0,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
10% DEXTROSE INFUSION BP,DEXTROSE ANHYDROUS,DRUGS,A11-0237,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,1,Genuine,None,1.0,1,1,1,1,1,1,1
10% DEXTROSE INFUSION BP,DEXTROSE ANHYDROUS,DRUGS,A11-0237X,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,1,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
10% DEXTROSE INFUSION BP X,DEXTROSE ANHYDROUS,DRUGS,A11-0237,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,1,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
1980 AZITHROMYCIN TABLETS USP 500 MG $,AZITHROMYCIN (AZITHROMYCIN DIHYDRATE),DRUGS,A4-101970,TABLET,ORAL,,ACTIVE,2,Genuine,None,1.0,1,1,1,1,1,1,1
1980 AZITHROMYCIN TABLETS USP 500 MG $,AZITHROMYCIN (AZITHROMYCIN DIHYDRATE),DRUGS,A4-101970X,TABLET,ORAL,,ACTIVE,2,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
1980 AZITHROMYCIN TABLETS USP 500 MG $ X,AZITHROMYCIN (AZITHROMYCIN DIHYDRATE),DRUGS,A4-101970,TABLET,ORAL,,ACTIVE,2,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
1980 PREGABALIN 150 MG CAPSULES,PREGABALIN,DRUGS,A4-101466,CAPSULE,ORAL,,ACTIVE,3,Genuine,None,1.0,1,1,1,1,1,1,1
1980 PREGABALIN 150 MG CAPSULES,PREGABALIN,DRUGS,A4-101466X,CAPSULE,ORAL,,ACTIVE,3,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
1980 PREGABALIN 150 MG CAPSULES X,PREGABALIN,DRUGS,A4-101466,CAPSULE,ORAL,,ACTIVE,3,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
3-XON CREAM,CLOBETASOL; KETOCONAZOLE; NEOMYCIN,DRUGS,A4-101048,CREAM,TOPICAL,,ACTIVE,4,Genuine,None,1.0,1,1,1,1,1,1,1
3-XON CREAM,CLOBETASOL; KETOCONAZOLE; NEOMYCIN,DRUGS,A4-101048X,CREAM,TOPICAL,,ACTIVE,4,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
3-XON CREAM X,CLOBETASOL; KETOCONAZOLE; NEOMYCIN,DRUGS,A4-101048,CREAM,TOPICAL,,ACTIVE,4,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
3K CREAM,BETAMETHASONE; CLOTRIMAZOLE; NEOMYCIN SULFATE,DRUGS,B4-0452,CREAM,TOPICAL,,ACTIVE,5,Genuine,None,1.0,1,1,1,1,1,1,1
3K CREAM,BETAMETHASONE; CLOTRIMAZOLE; NEOMYCIN SULFATE,DRUGS,B4-0452X,CREAM,TOPICAL,,ACTIVE,5,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
3K CREAM X,BETAMETHASONE; CLOTRIMAZOLE; NEOMYCIN SULFATE,DRUGS,B4-0452,CREAM,TOPICAL,,ACTIVE,5,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
4.3% DEXTROSE AND SALINE INFUSION,GLUCOSE; SODIUM CHLORIDE,DRUGS,A11-0325,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,6,Genuine,None,1.0,1,1,1,1,1,1,1
4.3% DEXTROSE AND SALINE INFUSION,GLUCOSE; SODIUM CHLORIDE,DRUGS,A11-0325X,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,6,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
4.3% DEXTROSE AND SALINE INFUSION X,GLUCOSE; SODIUM CHLORIDE,DRUGS,A11-0325,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,6,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
4.3% DEXTROSE SALINE (500 ML),GLUCOSE; SODIUM CHLORIDE,DRUGS,04-1215,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,7,Genuine,None,1.0,1,1,1,1,1,1,1
4.3% DEXTROSE SALINE (500 ML),GLUCOSE; SODIUM CHLORIDE,DRUGS,04-1215X,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,7,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
4.3% DEXTROSE SALINE (500 ML) X,GLUCOSE; SODIUM CHLORIDE,DRUGS,04-1215,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,7,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
